picture.no,hue,sat,bright,SDhue,SDsat,SDbright,ED,PE
5557,2.337860869,0.357199397,0.521204758,1.320099548,0.233567332,0.342546619,0.101710796,7.652712307
5560,1.33549743,0.327779495,0.510085107,1.348957857,0.213843064,0.261299708,0.141367914,7.606594856
5573,0.609098148,0.436145704,0.509992978,0.953983993,0.231369033,0.233147868,0.099472682,7.650958132
5574,2.062377182,0.26078867,0.509002144,1.201718897,0.165068805,0.271091024,0.123066667,7.245159998
5577,1.127912235,0.278283049,0.655912136,2.149541761,0.176636547,0.260105876,0.1185766,7.262117743
5578,2.011949344,0.478411225,0.652060863,1.880698143,0.255765588,0.18599351,0.10512,7.210840482
5579,0.653167275,0.171047267,0.554248603,1.327775228,0.147948694,0.262419891,0.140856902,7.711629228
5583,2.505969832,0.2544494,0.622261612,1.298706911,0.155676038,0.283306082,0.112927778,7.545280461
5586,0.440942998,0.364318431,0.635389665,2.127457615,0.130999216,0.213542594,0.098535417,7.243735549
5599,-2.304311196,0.120139588,0.741936247,1.513798759,0.066666705,0.163980199,0.076356069,6.837708367
5645,1.813996677,0.286048115,0.515545504,1.465541552,0.153326366,0.277563134,0.117576369,7.610699699
5653,1.35750766,0.372445525,0.514375218,0.928055259,0.230097646,0.272184297,0.136315833,7.834931217
5659,-3.117132182,0.17804937,0.556357943,1.664538645,0.143497762,0.291370722,0.104389063,6.680209598
5661,2.416458238,0.217408283,0.659935737,1.46725985,0.211086313,0.231939056,0.109341125,7.590806586
5664,-2.977541795,0.106553314,0.581974775,1.616496108,0.116852914,0.220055257,0.082539063,7.291565586
5666,1.194780756,0.294817377,0.555825018,1.501965681,0.299774651,0.322569877,0.117436091,7.381736019
5670,-2.462690838,0.147037161,0.595064217,1.589950373,0.144174419,0.33974292,0.093296712,7.712239484
5675,-0.702520805,0.236672208,0.562383228,0.823020273,0.192687465,0.295120908,0.088962975,7.411777941
5676,2.943021719,0.281372257,0.627646054,0.625834983,0.174330353,0.293229337,0.080599467,7.618624866
5677,3.108106059,0.133871269,0.6764075,0.992638445,0.120570769,0.200448259,0.051730185,7.447918315
5814,1.270688704,0.228749712,0.500880274,1.326648255,0.185282835,0.251546809,0.090107633,7.772734103
5844,2.805733293,0.198403677,0.643071812,1.376109126,0.148498527,0.287343006,0.098490104,7.54550904
5874,2.327344105,0.363617907,0.550665061,1.554010478,0.163835345,0.266489643,0.103495687,7.610257544
5886,2.144116393,0.381882659,0.452569412,1.079540351,0.185200287,0.320416019,0.122535185,7.601327093
5904,1.312280965,0.465620886,0.342821413,0.432996529,0.212215817,0.182991849,0.12206014,7.166441604
5908,0.232478508,0.361371883,0.648429648,1.718669227,0.145114733,0.264421635,0.138278035,7.505398387
5953,1.120872033,0.27019622,0.552069336,1.827139929,0.146308468,0.244639207,0.105579376,7.421831319
5985,1.426298746,0.531222504,0.432910315,1.454239383,0.277947907,0.290570764,0.113377455,7.598296436
5987,1.415468863,0.303837947,0.586343473,1.826487861,0.170382193,0.281720772,0.104141433,7.66286274
5988,1.378155741,0.292556965,0.382036302,0.943543365,0.204802437,0.233833658,0.132232553,7.620109602
6007,0.419398382,0.414217665,0.599126754,1.370152616,0.173367645,0.238094025,0.151881019,7.618619081
6011,2.833774579,0.246875048,0.623389904,1.346910688,0.204167081,0.301035703,0.106833333,7.426828983
6012,1.490934982,0.347475856,0.552218408,1.827007736,0.129590352,0.251713815,0.092191297,7.259675179
6014,-1.23507507,0.339927719,0.765762751,2.111346271,0.160835122,0.241000323,0.087183594,7.274783273
6017,2.440111231,0.275222012,0.596265724,1.898076255,0.195107091,0.217284989,0.103440095,7.332544368
6019,1.248875035,0.406713248,0.65699677,2.25636524,0.203367703,0.160011488,0.09095459,7.160849402
6041,2.874154786,0.235656438,0.507728268,1.9448693,0.205417401,0.277690162,0.105014583,7.657074537
6046,-2.890696135,0.204898809,0.518749084,0.807898285,0.123403266,0.214292235,0.138560677,7.683530937
6056,-1.899591267,0.240884902,0.575534085,2.104689098,0.249729574,0.184897776,0.113514352,7.194713745
6063,2.942270452,0.444462392,0.451985361,1.089725707,0.333073961,0.382078462,0.094920099,6.918012563
6066,1.501919554,0.353847593,0.539599059,1.256571762,0.188879275,0.238054379,0.114077705,6.856480509
6073,1.497292441,0.403893136,0.547210787,0.776813554,0.201545752,0.253276248,0.125754675,7.611609733
6076,3.029300934,0.447067069,0.58219369,1.449432526,0.22329447,0.214636665,0.071642915,6.675029356
6078,1.794994115,0.423583158,0.646019941,1.141491609,0.181990531,0.265217655,0.117552598,7.446330745
6100,-0.799435513,0.498885233,0.477126361,2.071518154,0.367874401,0.308946109,0.120544948,7.679765592
6155,1.85083977,0.217476595,0.577633739,1.407221182,0.238141758,0.297278273,0.130137602,7.038410181
6187,1.669059237,0.29493841,0.511082289,1.962341908,0.223795382,0.299999657,0.110415971,7.592306236
6190,-2.23253825,0.340820298,0.629257294,1.714169435,0.276326942,0.230742393,0.102287268,7.572157161
6272,1.373593033,0.249093661,0.575767896,1.550745946,0.185191106,0.268440842,0.145411809,7.607898694
