"","picture.ID","naturalness","fascination","coherence","scope","being_away"
"179",4888,5.85714285714286,3.875,3.33333333333333,5.1,4.44444444444444
"180",4897,6,4.92307692307692,5.53846153846154,6.06666666666667,5.66666666666667
"181",4911,2.33333333333333,4.41666666666667,4.5,3.41666666666667,3
"182",4914,3.5,4.08333333333333,4.41666666666667,4.66666666666667,3.16666666666667
"183",4918,5.41666666666667,4.66666666666667,3.83333333333333,5.75,4.33333333333333
"184",4961,2.08333333333333,4.25,4.83333333333333,3.41666666666667,2.41666666666667
"185",4966,3.08333333333333,5.16666666666667,5.16666666666667,5.16666666666667,3.41666666666667
"186",4971,1.53846153846154,3.69230769230769,4.76923076923077,2.38461538461538,2.23076923076923
"187",4980,2.33333333333333,3.25,4.25,3.5,2.5
"188",4982,4.71428571428571,3.875,3.16666666666667,5.7,4.88888888888889
"189",4983,5.23076923076923,3.23076923076923,5.30769230769231,4.73333333333333,4.54545454545455
"190",4986,3.76923076923077,4.07692307692308,5.30769230769231,4.76923076923077,4.07692307692308
"191",4987,4.91666666666667,3.83333333333333,4.75,5.08333333333333,4.66666666666667
"192",4988,6.41666666666667,4.16666666666667,4.66666666666667,5.66666666666667,5.41666666666667
"193",4990,6.16666666666667,4,4.41666666666667,5.91666666666667,5.91666666666667
"194",4991,5.46153846153846,5.15384615384615,4.30769230769231,5.92307692307692,4.33333333333333
"195",4999,5.66666666666667,4.75,4.83333333333333,5.75,5.58333333333333
"196",5002,4.42857142857143,4,5.66666666666667,4.8,4.33333333333333
"197",5005,5.69230769230769,4.53846153846154,3.53846153846154,5.33333333333333,3.83333333333333
"198",5012,3.76923076923077,4.84615384615385,4.53846153846154,4.84615384615385,4.30769230769231
"199",5016,4.58333333333333,4.75,4.75,5.08333333333333,4.16666666666667
"200",5017,4.33333333333333,4.25,3.91666666666667,4.91666666666667,3.83333333333333
"201",5045,5.15384615384615,4,5.76923076923077,5.46153846153846,4.07692307692308
"202",5073,3,3.69230769230769,5.76923076923077,4.15384615384615,3.53846153846154
"203",5134,5.08333333333333,4.41666666666667,4.75,5.08333333333333,4.25
"204",5135,5.92307692307692,5.07692307692308,4.23076923076923,5.69230769230769,5
"205",5137,5.28571428571429,3.875,4.16666666666667,4.4,4.33333333333333
"206",5165,2.58333333333333,3.83333333333333,5.41666666666667,3.91666666666667,3
"207",5166,2.92307692307692,4,5.84615384615385,4.53846153846154,3
"208",5240,5.83333333333333,4.83333333333333,4.41666666666667,4.25,4.33333333333333
"209",5245,5.75,5.08333333333333,4.75,4.16666666666667,5.41666666666667
"210",5277,6.61538461538461,5.53846153846154,3.23076923076923,6.38461538461539,5.53846153846154
"211",5279,5.91666666666667,5.33333333333333,4.25,5.58333333333333,5.66666666666667
"212",5360,1.61538461538462,2.46153846153846,5.76923076923077,2.07692307692308,2.07692307692308
"213",5371,2.33333333333333,4.58333333333333,4.45454545454545,3.75,2.66666666666667
"214",5380,6.23076923076923,4.61538461538461,3.46153846153846,5.61538461538461,4.92307692307692
"215",5445,4.63636363636364,4.25,5.41666666666667,4.75,4.83333333333333
"216",5449,3.08333333333333,4.33333333333333,5.25,3.91666666666667,3.5
"217",5451,3.07692307692308,4.84615384615385,5.76923076923077,5.07692307692308,3.92307692307692
"218",5457,3.25,4.33333333333333,5.66666666666667,4.08333333333333,3.83333333333333
"219",5541,4.14285714285714,5,6,4,5.22222222222222
"220",5546,5.53846153846154,6.15384615384615,5.30769230769231,4.06666666666667,5.83333333333333
"221",5550,4.46153846153846,6.23076923076923,5.46153846153846,4.69230769230769,5.53846153846154
"222",5557,5.08333333333333,5.5,5.5,5.16666666666667,5.33333333333333
